City,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
New York,Wakefield,40.89470518,-73.84720052,Lollipops Gelato,40.89412315,-73.84589162,Dessert Shop
New York,Wakefield,40.89470518,-73.84720052,Rite Aid,40.8965207,-73.8446798,Pharmacy
New York,Wakefield,40.89470518,-73.84720052,Cooler Runnings Jamaican Restaurant Inc,40.89827622,-73.85038105,Caribbean Restaurant
New York,Wakefield,40.89470518,-73.84720052,Carvel Ice Cream,40.89048669,-73.84856773,Ice Cream Shop
New York,Wakefield,40.89470518,-73.84720052,Dunkin Donuts,40.89063114,-73.84902685,Donut Shop
New York,Wakefield,40.89470518,-73.84720052,SUBWAY,40.89065632,-73.84919159,Sandwich Place
New York,Wakefield,40.89470518,-73.84720052,Baychester Avenue Food Truck,40.89229319,-73.84323017,Food Truck
New York,Co-op City,40.87429419,-73.82993911,Dollar Tree,40.87012498,-73.82898863,Discount Store
New York,Co-op City,40.87429419,-73.82993911,Capri II Pizza,40.87637421,-73.82994043,Pizza Place
New York,Co-op City,40.87429419,-73.82993911,Sleepy's Co-Op City,40.87223414,-73.82860727,Mattress Store
New York,Co-op City,40.87429419,-73.82993911,Rite Aid,40.87034488,-73.82830203,Pharmacy
New York,Co-op City,40.87429419,-73.82993911,Bartow Mall,40.87021913,-73.82866144,Shopping Mall
New York,Co-op City,40.87429419,-73.82993911,Baskin Robbins,40.87004451,-73.82957795,Ice Cream Shop
New York,Co-op City,40.87429419,-73.82993911,Food Universe Marketplace,40.87673988,-73.82898049,Grocery Store
New York,Co-op City,40.87429419,-73.82993911,Townhouse Restaurant,40.87608589,-73.82886815,Restaurant
New York,Co-op City,40.87429419,-73.82993911,truman track n field,40.87496253,-73.83084729,Baseball Field
New York,Co-op City,40.87429419,-73.82993911,Sheer Elegance: Hair Plaza and Nail,40.8767908,-73.82952625,Salon / Barbershop
New York,Co-op City,40.87429419,-73.82993911,Pure Romance Parties By Amy,40.87679203,-73.83047572,Gift Shop
New York,Co-op City,40.87429419,-73.82993911,MTA MaBSTOA Bus Bx23 / Bx30 / Bx38 / Q50 at Donizetti Place & Baychester Ave (Section 1),40.87618793,-73.83383814,Bus Station
New York,Co-op City,40.87429419,-73.82993911,Jimmy Jazz,40.8732858,-73.82436991,Accessories Store
New York,Eastchester,40.88755568,-73.82780645,Cozy Cottage Restaurant,40.88633207,-73.82761562,Diner
New York,Eastchester,40.88755568,-73.82780645,Fish & Ting,40.88553927,-73.82915131,Caribbean Restaurant
New York,Eastchester,40.88755568,-73.82780645,Mario's Pizza,40.88862762,-73.83126013,Pizza Place
New York,Eastchester,40.88755568,-73.82780645,Dyre Fish Market,40.88931764,-73.83145257,Seafood Restaurant
New York,Eastchester,40.88755568,-73.82780645,Dunkin Donuts,40.88548118,-73.82801495,Donut Shop
